Experiment,Task Name,Task Type,Qwen3-0.6B (base-bf16),Qwen3-0.6B (base-4bit),Qwentaur-0.6B (bf16),Qwentaur-0.6B (4bit),Llama-3.2-1B (base-bf16),Llama-3.2-1B (base-4bit),Centaur-1B (bf16),Centaur-1B (4bit),Qwen3-1.7B (base-bf16),Qwen3-1.7B (base-4bit),Qwentaur-1.7B (bf16),Qwentaur-1.7B (4bit),Llama-3.2-3B (base-bf16),Llama-3.2-3B (base-4bit),Centaur-3B (bf16),Centaur-3B (4bit),Qwen3-4B (base-bf16),Qwen3-4B (base-4bit),Qwentaur-4B (bf16),Qwentaur-4B (4bit),Qwen3-8B (base-bf16),Qwen3-8B (base-4bit),Qwentaur-8B (bf16),Qwentaur-8B (4bit),Llama-3.1-8B (base-bf16),Llama-3.1-8B (base-4bit),Centaur-8B (bf16),Centaur-8B (4bit),Qwen3-14B (base-bf16),Qwen3-14B (base-4bit),Qwentaur-14B (bf16),Qwentaur-14B (4bit),Llama-70B (4bit-reported),Centaur-70B (4bit-reproduced),Centaur-70B (4bit-reported),Cognitive model (reported)
popov2023intent,Episodic long-term memory,Memory,1.7196,1.7988,1.2676,1.3501,1.9732,2.0206,1.2768,1.3626,1.4504,1.4955,1.0550,1.1325,1.6520,1.6873,1.0152,1.0476,1.3255,1.3629,0.9640,1.0085,1.2976,1.3259,0.9433,0.9778344035148621,1.4294,1.4599,0.9201,0.9409,1.1833,1.2159,0.9028,0.9272,1.1344,0.8860,0.8684,
enkavi2019adaptivenback,N-back,Memory,0.5812,0.5986,0.4165,0.4432,0.5884,0.6031,0.4219,0.4369,0.5772,0.5993,0.4151,0.4378,0.5727,0.5748,0.4193,0.4284,0.5470,0.5636,0.4127,0.4190,0.5452,0.5468,0.4091,0.4317435026168823,0.5684,0.5737,0.4091,0.4153,0.5273,0.5321,0.4043,0.4295,0.5209,0.4002,0.3954,0.5787
cox2017information,Recall and recognition,Memory,1.7283,1.7837,1.2391,1.3288,1.8706,1.8820,1.2212,1.2771,1.5682,1.5932,1.1823,1.2386,1.5575,1.5899,1.1449,1.1666,1.4399,1.4327,1.1313,1.1633,1.4087,1.4430,1.1175,1.1456016302108765,1.3695,1.3903,1.1014,1.1164,1.3574,1.3846,1.0925,1.1280,1.3759,1.0707,1.0590,
enkavi2019recentprobes,Recent probes,Memory,0.6976,0.7332,0.2620,0.2772,0.7399,0.7866,0.2650,0.2885,0.6143,0.6384,0.2639,0.2782,0.5616,0.6126,0.2611,0.2630,0.3887,0.4020,0.2614,0.2656,0.4131,0.4064,0.2599,0.2724936008453369,0.3408,0.4035,0.2587,0.2621,0.3472,0.3473,0.2591,0.2703,0.3433,0.2601,0.2572,0.3868
jansen2021dunningkruger,Grammar judgement,Miscellaneous,2.1248,2.2798,1.4728,1.5383,2.3349,2.4321,1.4789,1.5322,2.0196,2.0385,1.4542,1.5028,2.1621,2.1664,1.4534,1.4734,1.9957,1.9645,1.4459,1.4740,1.8921,1.9893,1.4403,1.4792237281799316,2.1220,2.1231,1.4412,1.4572,1.9095,1.9296,1.4329,1.4679,1.9949,1.4391,1.4350,1.4127
zhu2020bayesian,Probabilistic reasoning,Miscellaneous,2.7525,2.8087,2.4467,2.5169,2.8932,2.9660,2.5552,2.6088,2.6857,2.7230,2.3970,2.4297,2.8017,2.8183,2.4736,2.4880,2.6061,2.6180,2.3584,2.3794,2.5726,2.6355,2.3464,2.399671792984009,2.7148,2.7414,2.4343,2.4522,2.5769,2.6567,2.3431,2.3540,2.6406,2.3969,2.3730,
wu2023chunking,Serial reaction time task,Miscellaneous,0.2122,0.2063,0.1694,0.1754,0.3128,0.3827,0.1718,0.1764,0.1930,0.1976,0.1693,0.1735,0.2326,0.2494,0.1717,0.1733,0.1888,0.1910,0.1672,0.1688,0.1920,0.1977,0.1665,0.17082706093788147,0.1975,0.1998,0.1671,0.1687,0.1900,0.1986,0.1662,0.1703,0.1900,0.1777,0.1718,0.1962
hebart2023things,THINGS odd-one-out,Miscellaneous,1.2106,1.2667,0.8213,0.8490,1.3147,1.3706,0.8243,0.8438,1.2118,1.2841,0.8126,0.8391,1.1833,1.2053,0.8175,0.8288,1.1666,1.1944,0.7994,0.8116,1.1500,1.1732,0.7947,0.8271438479423523,1.1565,1.1621,0.7912,0.8025,1.1311,1.1557,0.7875,0.8155,1.1386,0.8033,0.8068,0.8253
xiong2023neural,Changing bandit,Multi-armed bandits,0.4163,0.4019,0.3050,0.3124,1.3399,1.2611,0.3193,0.3274,0.3792,0.3785,0.2968,0.3086,0.9041,0.8631,0.3075,0.3143,0.3628,0.3626,0.2910,0.2943,0.3524,0.3736,0.2912,0.3047882914543152,0.3905,0.3903,0.2928,0.3012,0.3404,0.3531,0.2851,0.3017,0.3824,0.4541,0.3025,0.4378
wulff2018sampling,Decisions from experience,Multi-armed bandits,0.7389,0.7885,0.4928,0.5011,0.8061,0.8003,0.4991,0.5113,0.6585,0.6790,0.4870,0.4977,0.7110,0.7365,0.4874,0.5042,0.6894,0.7087,0.4864,0.4970,0.7760,0.7597,0.4855,0.4922039210796356,0.6520,0.6633,0.4801,0.4862,0.6088,0.6294,0.4802,0.4896,0.4339,0.4719,0.3686,0.5404
